TID_LANGUAGE_LOCALIZED_NAME;English;ÖĞÎÄ
TID_BUILDING_HOUSE;House;·¿×Ó
TID_BUILDING_HOUSING;Army Camp;ÓªµØ
TID_BUILDING_TOWN_HALL;Town Hall;³ÇÕò´óÌü
TID_BUILDING_ELIXIR_PUMP;Elixir Collector;Å©³¡
TID_BUILDING_ELIXIR_STORAGE;Elixir Storage;¹È²Ö
TID_BUILDING_GOLD_MINE;Gold Mine;½ğ¿ó
TID_BUILDING_GOLD_STORAGE;Gold Storage;½ğ¿â
TID_BUILDING_BARRACK;Barracks;¾üÓª
TID_BUILDING_CANNON;Cannon;¼ÓÅ©ÅÚ
TID_BUILDING_TESLA_TOWER;Hidden Tesla;µçËş
TID_BUILDING_WALL;Wall;Ç½
TID_BUILDING_FENCE;Fence;Õ¤À¸
TID_BUILDING_WIZARD_TOWER;Wizard Tower;·¨Ê¦Ëş
TID_BUILDING_AIR_DEFENSE;Air Defense;·À¿ÕËş
TID_BUILDING_MORTAR;Mortar;ÆÈ»÷ÅÚ
TID_WORKER_BUILDING;Builder's Hut;½¨ÔìĞ¡Îİ
TID_BUILDING_LABORATORY;Laboratory;ÊµÑéÊÒ
TID_TRAP_BOMB;Bomb Trap;Õ¨µ¯ÏİÚå
TID_TRAP_EJECT;Spring Trap;µ¯»ÉÏİÚå
TID_TRAP_TIMETRAP;Time Trap;Ê±¼äÏİÚå
TID_BUTTON_SPEEDUP;Finish Now;Á¢¼´Íê³É
TID_BUTTON_UPGRADE;Upgrade;Éı¼¶
TID_BUTTON_ATTACK;Attack!;¹¥»÷
TID_BUTTON_SHOP;Shop;ÉÌµê
TID_BUTTON_SELL;Sell;³öÊÛ
TID_BUTTON_CANCEL;Cancel;È¡Ïû
TID_BUTTON_TRAIN;Train Troops;ÑµÁ·¾ü¶Ó
TID_BUTTON_COLLECT;Collect;ÊÕÈ¡
TID_BUTTON_INFO;Info;ĞÅÏ¢
TID_BUTTON_CLEAR;Remove;ÒÆ³ı
TID_BUTTON_HOME;Return Home;»Ø¼Ò
TID_BUTTON_ACCEPT;Accept;½ÓÊÜ
TID_BUTTON_REJECT;Reject;¾Ü¾ø
TID_BUTTON_SEND;Send;ÅÉÇ²
TID_BUTTON_JOIN;Join;¼ÓÈë
TID_TAB_GLOBAL_CHAT;Global;ÊÀ½ç
TID_TAB_ALLIANCE_CHAT;Clan;Áª°î
TID_OBSTACLE_TREE;Tree;Ê÷Ä¾
TID_OBSTACLE_STONE;Stone;Ê¯Í·
TID_OBSTACLE_BUSH;Bush;Ê÷´Ô
TID_OBSTACLE_TRUNK;Trunk;Ê÷¸É
TID_OBSTACLE_MUSHROOM;Mushroom;Ä¢¹½
TID_DECORATION_BARBARIAN_STATUE;Mighty Statue;Î°´óµÄµñÏñ
TID_DECORATION_TORCH;Torch;»ğ°Ñ
TID_DECORATION_WHITE_FLAG;White Flag;°×Æì
TID_DECORATION_SKULL_FLAG;Pirate Flag;º£µÁÆì
TID_DECORATION_FLOWERBOX1;Cornflower Bed;¾Õ»¨
TID_DECORATION_FLOWERBOX2;Sunflower Bed;¿û»¨
TID_DECORATION_WINDMETER;Weather Vane;·çÏò±ê
TID_DECORATION_DOWNARROW_FLAG;Rally Flag;ÏòÏÂÖ¸ÏòµÄÆì×Ó
TID_DECORATION_UPARROW_FLAG;Point Flag;ÏòÉÏÖ¸ÏòµÄÆì×Ó
TID_DECORATION_SKULL_ALTAR;Ancient Skull;÷¼÷ÃÆì
TID_DECORATION_NATIONAL_FLAG;National Flag;¹úÆì
TID_TIME_DAYS;d;Ìì
TID_TIME_HOURS;h;Ê±
TID_TIME_MINS;m;·Ö
TID_TIME_SECS;s;Ãë
TID_BATTLE_TIME_TITLE;Battle ends in:;Õ½¶·½áÊøºó£º
TID_POPUP_HEADER_WARNING;Warning!;¾¯¸æ£¡
TID_POPUP_UNDER_ATTACK;You are under attack! Please wait, your village will load automatically.;ÄãÊÜµ½¹¥»÷£¡ÇëÉÔºò£¬ÄúµÄ³ÇÕò»á×Ô¶¯ÔØÈë¡£
TID_POPUP_TRY_AGAIN;Estimated time left:;¹À¼ÆÊ£ÓàÊ±¼ä£º
TID_BUTTON_OKAY;Okay;È·ÈÏ
TID_POPUP_TRAIN_TITLE;Train <limit>;»ğ³µ<limit>
TID_INVALID_PLACEMENT;Invalid location! Tap on an empty area;ÎŞĞ§µÄÎ»ÖÃ£¡ËşÉÏµÄ¿Õ°×ÇøÓò
TID_ALL_TROOPS_USED;All forces deployed;ËùÓĞµÄ±øÁ¦²¿Êğ
TID_OTHER_TROOP_LEFT;Select a different unit;Ñ¡Ôñ²»Í¬µÄµ¥Î»
TID_DIAMONDS;Gems;±¦Ê¯
TID_GOLD;Gold;½ğ±Ò
TID_ELIXIR;Elixir;Á¸Ê³
TID_ITEM_LEVEL;<item> (Level <number>);<ITEM>£¨µÈ¼¶<Êı×Ö>£©
TID_SHOP_TITLE;Shop;ÉÌµê
TID_ITEM_BROKEN;<item> (Broken);<ITEM>£¨Ëğ»Ù£©
TID_BUILDING_ARCHER_TOWER;Archer Tower;»ğÇ¹Ëş
TID_BUILDING_CLASS_ARMY;Army Buildings;¾ü¶Ó½¨Öş
TID_BUILDING_CLASS_DEFENSE;Defenses;·ÀÓù
TID_BUILDING_CLASS_RESOURCE;Resources;×ÊÔ´
TID_BUILDING_CLASS_WALL;Walls;Ç½
TID_NOT_ENOUGH_WORKERS_HEADER;All builders are busy!;ËùÓĞµÄ¹¤ÈË¶¼ÔÚÃ¦£¡
TID_NOT_ENOUGH_WORKERS_TEXT;Complete the previous building and free up a builder?;Íê³ÉÇ°ÃæµÄ½¨ÉèºÍÊÍ·ÅµÄ½¨Éè¹¤ÈË£¿
TID_NOT_ENOUGH_RESOURCE;You don't have enough <resource>!;ÄúÃ»ÓĞ×ã¹»µÄ<×ÊÔ´>£¡
TID_TOWN_HALL_LEVEL_TOO_LOW;You need to upgrade your Town Hall to level <number>!;ÄúĞèÒªÉı¼¶ÄúµÄ³ÇÕò´óÌüµÈ¼¶<Êı×Ö>£¡
TID_POPUP_ABOUT_TO_SELL_TITLE;Sell building;³öÊÛ½¨Öş
TID_POPUP_TEXT_ABOUT_TO_SELL;Do you really want to sell <item> for <number> <resource>?;ÄÑµÀÄãÕæµÄÏë£¬³öÊÛµÄ<item> <±àºÅ> <×ÊÔ´>£¿
TID_POPUP_UPGRADE_TITLE;Upgrade to level <number>?;Éı¼¶µ½µÈ¼¶<Êı×Ö>£¿
TID_POPUP_UPGRADE_BUILD_MORE;Build more:;½¨Á¢¸ü¶à£º
TID_RESOURCE_CAP_FULL_GOLD;Build more or upgrade existing Gold Storages!;½¨Ôì»òÉı¼¶ÏÖÓĞ½ğ¿â£¡
TID_RESOURCE_CAP_FULL_ELIXIR;Build more or upgrade existing Elixir Storages!;½¨Ôì»òÉı¼¶ÏÖÓĞ¹È²Ö£¡
TID_POPUP_FRIEND_LIST_TITLE;Friends;ºÃÓÑ
TID_CONNECT_WITH_FACEBOOK_BUTTON;Connect to Facebook;Á¬½Óµ½ĞÂÀË
TID_LOGIN_TO_FACEBOOK_BUTTON;Login to Facebook;µÇÂ¼µ½ĞÂÀË
TID_LOADING_FACEBOOK_FRIENDS;Loading friend list...;ÕıÔÚ¼ÓÔØºÃÓÑÁĞ±í...
TID_OBSTACLE_TOMBSTONE;Tombstone;Ä¹±®
TID_NO_FACEBOOK_FRIENDS;Unable to find Facebook friends who play Clash of Clans;ÎŞ·¨ÕÒµ½ĞÂÀËÉÏµÄÅóÓÑÔÚÍæÇ¿²ğÆïÊ¿ÍÅ
